x,exact,equidistant,chebyshev
-1,-0.0384615,-0.0384615,-0.0384927
-0.999,-0.0385712,-0.0384975,-0.0386013
-0.998,-0.0386813,-0.0385358,-0.0387099
-0.997,-0.0387917,-0.0385762,-0.0388183
-0.996,-0.0389026,-0.0386189,-0.0389267
-0.995,-0.0390139,-0.0386637,-0.0390351
-0.994,-0.0391256,-0.0387106,-0.0391434
-0.993,-0.0392377,-0.0387597,-0.0392518
-0.992,-0.0393502,-0.0388108,-0.0393602
-0.991,-0.0394631,-0.038864,-0.0394687
-0.99,-0.0395764,-0.0389192,-0.0395773
-0.989,-0.0396902,-0.0389764,-0.039686
-0.988,-0.0398043,-0.0390356,-0.0397948
-0.987,-0.0399189,-0.0390967,-0.0399038
-0.986,-0.0400339,-0.0391597,-0.0400129
-0.985,-0.0401493,-0.0392246,-0.0401222
-0.984,-0.0402652,-0.0392914,-0.0402318
-0.983,-0.0403814,-0.03936,-0.0403416
-0.982,-0.0404982,-0.0394305,-0.0404516
-0.981,-0.0406153,-0.0395027,-0.040562
-0.98,-0.0407329,-0.0395767,-0.0406726
-0.979,-0.0408509,-0.0396525,-0.0407836
-0.978,-0.0409693,-0.0397299,-0.0408949
-0.977,-0.0410882,-0.0398091,-0.0410066
-0.976,-0.0412075,-0.03989,-0.0411186
-0.975,-0.0413272,-0.0399725,-0.041231
-0.974,-0.0414474,-0.0400566,-0.0413439
-0.973,-0.0415681,-0.0401424,-0.0414572
-0.972,-0.0416891,-0.0402298,-0.041571
-0.971,-0.0418107,-0.0403187,-0.0416852
-0.97,-0.0419327,-0.0404092,-0.0417999
-0.969,-0.0420551,-0.0405012,-0.0419151
-0.968,-0.042178,-0.0405948,-0.0420309
-0.967,-0.0423014,-0.0406898,-0.0421472
-0.966,-0.0424252,-0.0407863,-0.042264
-0.965,-0.0425494,-0.0408843,-0.0423814
-0.964,-0.0426742,-0.0409837,-0.0424995
-0.963,-0.0427994,-0.0410845,-0.0426181
-0.962,-0.042925,-0.0411868,-0.0427374
-0.961,-0.0430512,-0.0412904,-0.0428573
-0.96,-0.0431778,-0.0413955,-0.0429778
-0.959,-0.0433048,-0.0415018,-0.0430991
-0.958,-0.0434324,-0.0416095,-0.043221
-0.957,-0.0435604,-0.0417186,-0.0433436
-0.956,-0.0436889,-0.0418289,-0.043467
-0.955,-0.0438179,-0.0419406,-0.0435911
-0.954,-0.0439474,-0.0420535,-0.0437159
-0.953,-0.0440773,-0.0421677,-0.0438415
-0.952,-0.0442078,-0.0422831,-0.0439679
-0.951,-0.0443387,-0.0423998,-0.0440951
-0.95,-0.0444701,-0.0425177,-0.044223
-0.949,-0.044602,-0.0426368,-0.0443518
-0.948,-0.0447344,-0.0427572,-0.0444815
-0.947,-0.0448674,-0.0428787,-0.0446119
-0.946,-0.0450008,-0.0430013,-0.0447433
-0.945,-0.0451347,-0.0431252,-0.0448755
-0.944,-0.0452691,-0.0432501,-0.0450086
-0.943,-0.045404,-0.0433763,-0.0451426
-0.942,-0.0455394,-0.0435035,-0.0452775
-0.941,-0.0456754,-0.0436318,-0.0454134
-0.94,-0.0458118,-0.0437613,-0.0455502
-0.939,-0.0459488,-0.0438919,-0.0456879
-0.938,-0.0460863,-0.0440235,-0.0458266
-0.937,-0.0462243,-0.0441562,-0.0459663
-0.936,-0.0463628,-0.04429,-0.046107
-0.935,-0.0465018,-0.0444248,-0.0462487
-0.934,-0.0466414,-0.0445607,-0.0463913
-0.933,-0.0467815,-0.0446976,-0.0465351
-0.932,-0.0469221,-0.0448355,-0.0466798
-0.931,-0.0470633,-0.0449744,-0.0468256
-0.93,-0.047205,-0.0451144,-0.0469724
-0.929,-0.0473472,-0.0452553,-0.0471204
-0.928,-0.04749,-0.0453973,-0.0472694
-0.927,-0.0476333,-0.0455402,-0.0474195
-0.926,-0.0477772,-0.0456841,-0.0475707
-0.925,-0.0479216,-0.045829,-0.047723
-0.924,-0.0480666,-0.0459748,-0.0478764
-0.923,-0.0482121,-0.0461216,-0.048031
-0.922,-0.0483582,-0.0462694,-0.0481867
-0.921,-0.0485048,-0.0464181,-0.0483436
-0.92,-0.048652,-0.0465677,-0.0485016
-0.919,-0.0487997,-0.0467183,-0.0486609
-0.918,-0.048948,-0.0468698,-0.0488213
-0.917,-0.0490969,-0.0470222,-0.0489829
-0.916,-0.0492463,-0.0471755,-0.0491457
-0.915,-0.0493963,-0.0473297,-0.0493097
-0.914,-0.0495469,-0.0474849,-0.049475
-0.913,-0.0496981,-0.0476409,-0.0496415
-0.912,-0.0498498,-0.0477979,-0.0498092
-0.911,-0.0500021,-0.0479557,-0.0499782
-0.91,-0.050155,-0.0481145,-0.0501485
-0.909,-0.0503085,-0.0482741,-0.05032
-0.908,-0.0504626,-0.0484346,-0.0504928
-0.907,-0.0506173,-0.0485959,-0.050667
-0.906,-0.0507725,-0.0487582,-0.0508424
-0.905,-0.0509284,-0.0489213,-0.0510191
-0.904,-0.0510848,-0.0490853,-0.0511972
-0.903,-0.0512419,-0.0492502,-0.0513766
-0.902,-0.0513996,-0.0494159,-0.0515573
-0.901,-0.0515578,-0.0495825,-0.0517394
-0.9,-0.0517167,-0.04975,-0.0519228
-0.899,-0.0518762,-0.0499183,-0.0521076
-0.898,-0.0520363,-0.0500875,-0.0522938
-0.897,-0.052197,-0.0502575,-0.0524814
-0.896,-0.0523584,-0.0504284,-0.0526703
-0.895,-0.0525203,-0.0506001,-0.0528607
-0.894,-0.0526829,-0.0507727,-0.0530525
-0.893,-0.0528461,-0.0509462,-0.0532456
-0.892,-0.0530099,-0.0511205,-0.0534403
-0.891,-0.0531744,-0.0512956,-0.0536363
-0.89,-0.0533395,-0.0514716,-0.0538338
-0.889,-0.0535053,-0.0516485,-0.0540328
-0.888,-0.0536717,-0.0518262,-0.0542332
-0.887,-0.0538387,-0.0520047,-0.0544351
-0.886,-0.0540064,-0.0521841,-0.0546384
-0.885,-0.0541747,-0.0523644,-0.0548433
-0.884,-0.0543437,-0.0525455,-0.0550496
-0.883,-0.0545133,-0.0527275,-0.0552575
-0.882,-0.0546836,-0.0529103,-0.0554668
-0.881,-0.0548546,-0.053094,-0.0556777
-0.88,-0.0550262,-0.0532785,-0.0558901
-0.879,-0.0551985,-0.0534639,-0.056104
-0.878,-0.0553714,-0.0536502,-0.0563195
-0.877,-0.0555451,-0.0538373,-0.0565366
-0.876,-0.0557193,-0.0540253,-0.0567552
-0.875,-0.0558943,-0.0542141,-0.0569753
-0.874,-0.05607,-0.0544038,-0.0571971
-0.873,-0.0562463,-0.0545944,-0.0574204
-0.872,-0.0564233,-0.0547859,-0.0576453
-0.871,-0.0566011,-0.0549782,-0.0578718
-0.87,-0.0567795,-0.0551714,-0.0580999
-0.869,-0.0569586,-0.0553655,-0.0583297
-0.868,-0.0571384,-0.0555605,-0.058561
-0.867,-0.0573189,-0.0557564,-0.058794
-0.866,-0.0575001,-0.0559532,-0.0590287
-0.865,-0.057682,-0.0561508,-0.0592649
-0.864,-0.0578646,-0.0563494,-0.0595029
-0.863,-0.0580479,-0.0565488,-0.0597425
-0.862,-0.058232,-0.0567492,-0.0599837
-0.861,-0.0584168,-0.0569505,-0.0602267
-0.86,-0.0586023,-0.0571527,-0.0604713
-0.859,-0.0587885,-0.0573558,-0.0607176
-0.858,-0.0589754,-0.0575598,-0.0609657
-0.857,-0.0591631,-0.0577648,-0.0612154
-0.856,-0.0593515,-0.0579707,-0.0614669
-0.855,-0.0595406,-0.0581775,-0.0617201
-0.854,-0.0597305,-0.0583852,-0.061975
-0.853,-0.0599212,-0.058594,-0.0622316
-0.852,-0.0601125,-0.0588036,-0.0624901
-0.851,-0.0603047,-0.0590142,-0.0627502
-0.85,-0.0604975,-0.0592258,-0.0630122
-0.849,-0.0606912,-0.0594383,-0.0632759
-0.848,-0.0608856,-0.0596519,-0.0635414
-0.847,-0.0610807,-0.0598664,-0.0638086
-0.846,-0.0612767,-0.0600818,-0.0640777
-0.845,-0.0614734,-0.0602983,-0.0643486
-0.844,-0.0616708,-0.0605158,-0.0646213
-0.843,-0.0618691,-0.0607342,-0.0648958
-0.842,-0.0620681,-0.0609537,-0.0651721
-0.841,-0.0622679,-0.0611742,-0.0654503
-0.84,-0.0624685,-0.0613957,-0.0657303
-0.839,-0.0626698,-0.0616182,-0.0660122
-0.838,-0.062872,-0.0618417,-0.0662959
-0.837,-0.063075,-0.0620663,-0.0665815
-0.836,-0.0632787,-0.062292,-0.066869
-0.835,-0.0634833,-0.0625187,-0.0671584
-0.834,-0.0636887,-0.0627464,-0.0674496
-0.833,-0.0638948,-0.0629752,-0.0677428
-0.832,-0.0641018,-0.0632051,-0.0680379
-0.831,-0.0643096,-0.0634361,-0.0683349
-0.83,-0.0645182,-0.0636682,-0.0686338
-0.829,-0.0647277,-0.0639013,-0.0689346
-0.828,-0.0649379,-0.0641356,-0.0692374
-0.827,-0.065149,-0.0643709,-0.0695421
-0.826,-0.065361,-0.0646074,-0.0698488
-0.825,-0.0655737,-0.064845,-0.0701575
-0.824,-0.0657873,-0.0650837,-0.0704681
-0.823,-0.0660018,-0.0653236,-0.0707807
-0.822,-0.066217,-0.0655646,-0.0710954
-0.821,-0.0664332,-0.0658068,-0.071412
-0.82,-0.0666502,-0.0660502,-0.0717306
-0.819,-0.066868,-0.0662947,-0.0720512
-0.818,-0.0670867,-0.0665404,-0.0723739
-0.817,-0.0673063,-0.0667872,-0.0726986
-0.816,-0.0675267,-0.0670353,-0.0730253
