h,log10_h,forward_2,forward_3,backward_2,backward_3,central_2
0.392699,-0.40594,0.193839,0.0147551,0.193839,0.0147551,0
0.19635,-0.70697,0.0978598,0.00188035,0.0978598,0.00188035,0
0.0981748,-1.008,0.049048,0.000236179,0.049048,0.000236179,0
0.0490874,-1.30903,0.0245388,2.9558e-05,0.0245388,2.9558e-05,0
0.0245437,-1.61006,0.0122712,3.69587e-06,0.0122712,3.69587e-06,0
0.0122718,-1.91109,0.00613585,4.62018e-07,0.00613585,4.62018e-07,0
0.00613592,-2.21212,0.00306795,5.77533e-08,0.00306795,5.77533e-08,0
0.00306796,-2.51315,0.00153398,7.21918e-09,0.00153398,7.21918e-09,0
0.00153398,-2.81418,0.00076699,9.02447e-10,0.00076699,9.02447e-10,0
0.00076699,-3.11521,0.000383495,1.12761e-10,0.000383495,1.12761e-10,0
0.000383495,-3.41624,0.000191748,1.38961e-11,0.000191748,1.38961e-11,0
0.000191748,-3.71727,9.58738e-05,1.44751e-12,9.58738e-05,1.44751e-12,0
9.58738e-05,-4.0183,4.79369e-05,0,4.79369e-05,0,0
4.79369e-05,-4.31933,2.39684e-05,1.158e-12,2.39684e-05,1.158e-12,0
2.39684e-05,-4.62036,1.19842e-05,4.63202e-12,1.19842e-05,4.63202e-12,0
1.19842e-05,-4.92139,5.99211e-06,9.26404e-12,5.99211e-06,9.26404e-12,0
5.99211e-06,-5.22242,2.99606e-06,1.85281e-11,2.99606e-06,1.85281e-11,0
2.99606e-06,-5.52345,1.49803e-06,0,1.49803e-06,0,0
1.49803e-06,-5.82448,7.48979e-07,7.41123e-11,7.48979e-07,7.41123e-11,0
7.49014e-07,-6.12551,3.74564e-07,1.48225e-10,3.74564e-07,1.48225e-10,0
3.74507e-07,-6.42654,1.87356e-07,1.48225e-10,1.87356e-07,1.48225e-10,0
1.87254e-07,-6.72757,9.36779e-08,0,9.36779e-08,0,0
9.36268e-08,-7.0286,4.62461e-08,1.1858e-09,4.62461e-08,1.1858e-09,0
4.68134e-08,-7.32963,2.37159e-08,1.1858e-09,2.37159e-08,1.1858e-09,0
2.34067e-08,-7.63066,9.48637e-09,4.74319e-09,9.48637e-09,4.74319e-09,0
1.17033e-08,-7.93169,9.48637e-09,9.48637e-09,9.48637e-09,9.48637e-09,0
5.85167e-09,-8.23272,0,9.48637e-09,0,9.48637e-09,0
2.92584e-09,-8.53375,0,0,0,0,0
1.46292e-09,-8.83478,0,0,0,0,0
7.31459e-10,-9.13581,0,0,0,0,0
