h,log10_h,forward_2,forward_3,backward_2,backward_3,central_2
0.392699,-0.40594,0.0255046,0.0486744,0.0255046,0.0486744,0.0255046
0.19635,-0.70697,0.00641315,0.0126783,0.00641315,0.0126783,0.00641315
0.0981748,-1.008,0.00160561,0.00320193,0.00160561,0.00320193,0.00160561
0.0490874,-1.30903,0.000401547,0.000802513,0.000401547,0.000802513,0.000401547
0.0245437,-1.61006,0.000100396,0.000200755,0.000100396,0.000200755,0.000100396
0.0122718,-1.91109,2.50995e-05,5.01968e-05,2.50995e-05,5.01968e-05,2.50995e-05
0.00613592,-2.21212,6.27491e-06,1.25497e-05,6.27491e-06,1.25497e-05,6.27491e-06
0.00306796,-2.51315,1.56873e-06,3.13745e-06,1.56873e-06,3.13745e-06,1.56873e-06
0.00153398,-2.81418,3.92183e-07,7.84365e-07,3.92183e-07,7.84365e-07,3.92183e-07
0.00076699,-3.11521,9.80456e-08,1.96092e-07,9.80456e-08,1.96092e-07,9.80456e-08
0.000383495,-3.41624,2.45113e-08,4.9023e-08,2.45113e-08,4.9023e-08,2.45113e-08
0.000191748,-3.71727,6.12833e-09,1.22547e-08,6.12833e-09,1.22547e-08,6.12833e-09
9.58738e-05,-4.0183,1.53128e-09,3.06577e-09,1.53128e-09,3.06577e-09,1.53128e-09
4.79369e-05,-4.31933,3.84623e-10,7.62034e-10,3.84623e-10,7.62034e-10,3.84623e-10
2.39684e-05,-4.62036,9.73795e-11,1.89863e-10,9.73797e-11,1.89864e-10,9.73795e-11
1.19842e-05,-4.92139,2.55689e-11,4.62421e-11,2.55687e-11,4.62421e-11,2.55689e-11
5.99211e-06,-5.22242,7.61613e-12,1.03368e-11,7.61613e-12,1.03364e-11,7.61613e-12
2.99606e-06,-5.52345,3.39284e-11,7.54727e-11,3.39282e-11,7.54725e-11,3.39282e-11
1.49803e-06,-5.82448,3.90619e-11,1.12052e-10,3.9062e-11,1.12052e-10,3.9062e-11
7.49014e-07,-6.12551,3.87815e-11,3.85012e-11,3.87814e-11,3.85009e-11,3.87815e-11
3.74507e-07,-6.42654,3.87115e-11,3.86412e-11,3.87113e-11,3.86413e-11,3.87115e-11
1.87254e-07,-6.72757,5.54204e-10,1.14712e-09,5.54205e-10,1.14712e-09,5.54204e-10
9.36268e-08,-7.0286,6.31588e-10,1.81738e-09,6.31588e-10,1.81738e-09,6.31588e-10
4.68134e-08,-7.32963,6.31587e-10,6.31586e-10,6.31587e-10,6.31585e-10,6.31587e-10
2.34067e-08,-7.63066,6.31586e-10,6.31586e-10,6.31586e-10,6.31586e-10,6.31586e-10
1.17033e-08,-7.93169,8.85479e-09,1.83412e-08,8.85479e-09,1.83412e-08,8.85479e-09
5.85167e-09,-8.23272,1.0118e-08,2.90907e-08,1.0118e-08,2.90907e-08,1.0118e-08
2.92584e-09,-8.53375,2.78275e-08,6.5773e-08,2.78275e-08,6.5773e-08,2.78275e-08
1.46292e-09,-8.83478,4.80635e-08,1.23954e-07,4.80635e-08,1.23954e-07,4.80635e-08
7.31459e-10,-9.13581,1.03719e-07,2.55501e-07,1.03719e-07,2.55501e-07,1.03719e-07
