h,log10_h,forward_2,forward_3,backward_2,backward_3,central_2
0.392699,-0.40594,0.0255046,0.0486744,0.0255046,0.0486744,0.0255046
0.19635,-0.70697,0.00641315,0.0126783,0.00641315,0.0126783,0.00641315
0.0981748,-1.008,0.00160561,0.00320193,0.00160561,0.00320193,0.00160561
0.0490874,-1.30903,0.000401547,0.000802513,0.000401547,0.000802513,0.000401547
0.0245437,-1.61006,0.000100396,0.000200755,0.000100396,0.000200755,0.000100396
0.0122718,-1.91109,2.50995e-05,5.01968e-05,2.50995e-05,5.01968e-05,2.50995e-05
0.00613592,-2.21212,6.27491e-06,1.25497e-05,6.27491e-06,1.25497e-05,6.27491e-06
0.00306796,-2.51315,1.56873e-06,3.13745e-06,1.56873e-06,3.13745e-06,1.56873e-06
0.00153398,-2.81418,3.92183e-07,7.84365e-07,3.92183e-07,7.84365e-07,3.92183e-07
0.00076699,-3.11521,9.80457e-08,1.96091e-07,9.80457e-08,1.96091e-07,9.80457e-08
0.000383495,-3.41624,2.45114e-08,4.90229e-08,2.45114e-08,4.90229e-08,2.45114e-08
0.000191748,-3.71727,6.12786e-09,1.22557e-08,6.12786e-09,1.22557e-08,6.12786e-09
9.58738e-05,-4.0183,1.53196e-09,3.06393e-09,1.53196e-09,3.06393e-09,1.53196e-09
4.79369e-05,-4.31933,3.8299e-10,7.65984e-10,3.8299e-10,7.65984e-10,3.8299e-10
2.39684e-05,-4.62036,9.57467e-11,1.91497e-10,9.57467e-11,1.91497e-10,9.57467e-11
1.19842e-05,-4.92139,2.39404e-11,4.78659e-11,2.39404e-11,4.78659e-11,2.39404e-11
5.99211e-06,-5.22242,5.98767e-12,1.1965e-11,5.98767e-12,1.1965e-11,5.98767e-12
2.99606e-06,-5.52345,1.49949e-12,2.98869e-12,1.49949e-12,2.98869e-12,1.49949e-12
1.49803e-06,-5.82448,3.41259e-13,8.16973e-13,3.41259e-13,8.16973e-13,3.41259e-13
7.49014e-07,-6.12551,1.33123e-13,7.50128e-14,1.33123e-13,7.50128e-14,1.33123e-13
3.74507e-07,-6.42654,8.17555e-14,2.96634e-13,8.17555e-14,2.96634e-13,8.17555e-14
1.87254e-07,-6.72757,9.92873e-14,1.16819e-13,9.92873e-14,1.16819e-13,9.92873e-14
9.36268e-08,-7.0286,4.75332e-13,1.04995e-12,4.75332e-13,1.04995e-12,4.75332e-13
4.68134e-08,-7.32963,6.83768e-13,1.84287e-12,6.83768e-13,1.84287e-12,6.83768e-13
2.34067e-08,-7.63066,1.63197e-12,3.9477e-12,1.63197e-12,3.9477e-12,1.63197e-12
1.17033e-08,-7.93169,1.6319e-12,1.63183e-12,1.6319e-12,1.63183e-12,1.6319e-12
5.85167e-09,-8.23272,1.63188e-12,1.63186e-12,1.63188e-12,1.63186e-12,1.63188e-12
2.92584e-09,-8.53375,1.63188e-12,1.63187e-12,1.63188e-12,1.63187e-12,1.63188e-12
1.46292e-09,-8.83478,3.54243e-11,7.24804e-11,3.54243e-11,7.24804e-11,3.54243e-11
7.31459e-10,-9.13581,3.8688e-11,1.128e-10,3.8688e-11,1.128e-10,3.8688e-11
