typ,n,h,x,fd,shoot,exact,err_fd,err_sh
solution,64,0.015625,0,2,2,2,nan,nan
solution,64,0.015625,0.015625,1.85976,1.85976,1.85976,nan,nan
solution,64,0.015625,0.03125,1.72561,1.72563,1.72563,nan,nan
solution,64,0.015625,0.046875,1.59726,1.59728,1.59728,nan,nan
solution,64,0.015625,0.0625,1.47439,1.47441,1.47441,nan,nan
solution,64,0.015625,0.078125,1.35672,1.35675,1.35675,nan,nan
solution,64,0.015625,0.09375,1.24397,1.244,1.244,nan,nan
solution,64,0.015625,0.109375,1.13589,1.13593,1.13593,nan,nan
solution,64,0.015625,0.125,1.03223,1.03227,1.03227,nan,nan
solution,64,0.015625,0.140625,0.932749,0.932787,0.932787,nan,nan
solution,64,0.015625,0.15625,0.837225,0.837266,0.837266,nan,nan
solution,64,0.015625,0.171875,0.745445,0.745488,0.745488,nan,nan
solution,64,0.015625,0.1875,0.657206,0.65725,0.65725,nan,nan
solution,64,0.015625,0.203125,0.572312,0.572358,0.572358,nan,nan
solution,64,0.015625,0.21875,0.49058,0.490628,0.490628,nan,nan
solution,64,0.015625,0.234375,0.411833,0.411882,0.411882,nan,nan
solution,64,0.015625,0.25,0.335904,0.335954,0.335954,nan,nan
solution,64,0.015625,0.265625,0.262632,0.262682,0.262682,nan,nan
solution,64,0.015625,0.28125,0.191864,0.191916,0.191916,nan,nan
solution,64,0.015625,0.296875,0.123456,0.123509,0.123509,nan,nan
solution,64,0.015625,0.3125,0.0572688,0.0573214,0.0573214,nan,nan
solution,64,0.015625,0.328125,-0.00683085,-0.0067779,-0.00677795,nan,nan
solution,64,0.015625,0.34375,-0.068969,-0.0689159,-0.0689159,nan,nan
solution,64,0.015625,0.359375,-0.129266,-0.129213,-0.129213,nan,nan
solution,64,0.015625,0.375,-0.187838,-0.187785,-0.187785,nan,nan
solution,64,0.015625,0.390625,-0.244795,-0.244742,-0.244742,nan,nan
solution,64,0.015625,0.40625,-0.300242,-0.300189,-0.300189,nan,nan
solution,64,0.015625,0.421875,-0.354279,-0.354227,-0.354227,nan,nan
solution,64,0.015625,0.4375,-0.407004,-0.406952,-0.406952,nan,nan
solution,64,0.015625,0.453125,-0.458507,-0.458456,-0.458456,nan,nan
solution,64,0.015625,0.46875,-0.508878,-0.508827,-0.508827,nan,nan
solution,64,0.015625,0.484375,-0.558201,-0.55815,-0.55815,nan,nan
solution,64,0.015625,0.5,-0.606556,-0.606507,-0.606507,nan,nan
solution,64,0.015625,0.515625,-0.654022,-0.653973,-0.653973,nan,nan
solution,64,0.015625,0.53125,-0.700673,-0.700625,-0.700625,nan,nan
solution,64,0.015625,0.546875,-0.74658,-0.746533,-0.746533,nan,nan
solution,64,0.015625,0.5625,-0.791812,-0.791766,-0.791766,nan,nan
solution,64,0.015625,0.578125,-0.836435,-0.83639,-0.83639,nan,nan
solution,64,0.015625,0.59375,-0.880512,-0.880468,-0.880468,nan,nan
solution,64,0.015625,0.609375,-0.924105,-0.924062,-0.924062,nan,nan
solution,64,0.015625,0.625,-0.967273,-0.967231,-0.967231,nan,nan
solution,64,0.015625,0.640625,-1.01007,-1.01003,-1.01003,nan,nan
solution,64,0.015625,0.65625,-1.05256,-1.05252,-1.05252,nan,nan
solution,64,0.015625,0.671875,-1.09478,-1.09474,-1.09474,nan,nan
solution,64,0.015625,0.6875,-1.13679,-1.13676,-1.13676,nan,nan
solution,64,0.015625,0.703125,-1.17865,-1.17861,-1.17861,nan,nan
solution,64,0.015625,0.71875,-1.22039,-1.22035,-1.22035,nan,nan
solution,64,0.015625,0.734375,-1.26206,-1.26203,-1.26203,nan,nan
solution,64,0.015625,0.75,-1.30371,-1.30368,-1.30368,nan,nan
solution,64,0.015625,0.765625,-1.34539,-1.34536,-1.34536,nan,nan
solution,64,0.015625,0.78125,-1.38713,-1.3871,-1.3871,nan,nan
solution,64,0.015625,0.796875,-1.42898,-1.42895,-1.42895,nan,nan
solution,64,0.015625,0.8125,-1.47097,-1.47095,-1.47095,nan,nan
solution,64,0.015625,0.828125,-1.51315,-1.51313,-1.51313,nan,nan
solution,64,0.015625,0.84375,-1.55556,-1.55554,-1.55554,nan,nan
solution,64,0.015625,0.859375,-1.59823,-1.59821,-1.59821,nan,nan
solution,64,0.015625,0.875,-1.6412,-1.64118,-1.64118,nan,nan
solution,64,0.015625,0.890625,-1.6845,-1.68449,-1.68449,nan,nan
solution,64,0.015625,0.90625,-1.72818,-1.72817,-1.72817,nan,nan
solution,64,0.015625,0.921875,-1.77227,-1.77226,-1.77226,nan,nan
solution,64,0.015625,0.9375,-1.8168,-1.81679,-1.81679,nan,nan
solution,64,0.015625,0.953125,-1.8618,-1.86179,-1.86179,nan,nan
